# tracer: function_graph
#
# entries-in-buffer/entries-written: 15876/15876   #P:6
#
#                                      _-----=> irqs-off
#                                     / _----=> need-resched
#                                    | / _---=> hardirq/softirq
#                                    || / _--=> preempt-depth
#                                    ||| /     delay
#           TASK-PID    TGID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |        |      |   ||||       |         |
           <...>-22147 (-----) [003] d.h1   875.747107: graph_ret: func=generic_handle_irq
           <...>-22147 (-----) [003] d..1   875.747118: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.756905: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.756907: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.756910: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.756917: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.756925: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.756938: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.756945: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.756946: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.761367: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] d.h1   875.761373: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [000] dNh1   875.761399: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.761405: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.761454: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.761466: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.761521: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.761525: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.761583: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.761587: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.761763: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.761773: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.761790: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.761800: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.766745: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.766745: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.766747: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.766751: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.766754: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.766759: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.766760: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.766763: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [001] d..1   875.766765: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.766784: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.766784: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [003] d..1   875.766860: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.776584: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.776584: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.776588: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.776589: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.776600: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.776601: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [003] d..1   875.776608: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.776614: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.777769: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] d.h1   875.777775: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [000] dNh1   875.777801: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.777807: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.777852: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.777862: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.777916: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.777919: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.777978: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.777981: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.778163: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.778173: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.778191: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.778201: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.786425: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.786425: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.786428: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.786431: graph_ent: func=generic_handle_irq
